domain,publication_or_page,segment,asset_to_pitch,pitch_angle,contact_url_or_email,status,notes
theptdc.com,Personal Trainer Development Center,Trainer business educator,AI readiness checklist,Trainer business systems and AI readiness,https://www.theptdc.com/about,draft ready no email,No public email found on about page. Social routes found: @itscoachgoodman on X/Instagram and Facebook page.
instituteofpersonaltrainers.com,Institute of Personal Trainers,Trainer business educator,AI readiness checklist,Practical AI preparation resource for personal trainers,https://www.instituteofpersonaltrainers.com/,needs contact,Find founder/editor contact or contact form before sending.
nasm.org,NASM blog/career resources,Certification organization,AI readiness checklist,AI and business operations resource for certified trainers,nasmmedia@nasm.org,fitforce gmail draft created 2026-06-30,Draft ID r8920517414473114318 from parsa@fitforce.com. Old draft from 1641allston: r-8092356534798960889.
acefitness.org,ACE Fitness pro resources,Certification organization,AI readiness checklist,AI readiness and client-management systems for fitness pros,https://www.acefitness.org/about-ace/contact-us/,needs contact,Contact page is protected by WAF in CLI; use browser/contact form.
issaonline.com,ISSA trainer resources,Certification organization,AI readiness checklist,Trainer operations checklist for AI and automation,support@issaonline.com,fitforce gmail draft created 2026-06-30,Draft ID r6743514803855956467 from parsa@fitforce.com. Old draft from 1641allston: r9073917378981384233.
fitnessmentors.com,Fitness Mentors blog,Trainer business educator,AI readiness checklist,AI-ready business setup for independent trainers,eddie@fitnessmentors.com,fitforce gmail draft created 2026-06-30,Draft ID r-3740280549325795258 from parsa@fitforce.com. Old draft from 1641allston: r8962675857833613915.
personaltrainerdaily.com,Personal Trainer Daily,Trainer business media,AI readiness checklist,Trainer technology and retention resource,https://personaltrainerdaily.com/,needs contact,Verify active editorial/contact details before sending.
twobrainbusiness.com,Two-Brain Business,Fitness business media,AI agents article,AI operations workflows for small fitness businesses,,not started,Angle toward retention and admin systems.
clubindustry.com,Club Industry,Fitness business media,AI readiness checklist,AI in fitness business operations,,not started,Pitch as source for AI/ops coverage.
athletechnews.com,Athletech News,Fitness business media,MCP explainer,Vertical example of MCP/AI agents in fitness,,not started,Pitch trend/source angle.
exercise.com,Exercise.com grow resources,Software roundup/resource,AI readiness checklist,AI and personal trainer business systems,,not started,Competitor-adjacent; pitch resource, not product.
trainerize.com,Trainerize blog,Software/resource blog,AI agents article,AI follow-up and retention workflows for trainers,,not started,Competitor; lower priority.
gymdesk.com,Gymdesk blog,Fitness business software,AI readiness checklist,AI-ready operations for fitness businesses,,not started,Pitch as resource mention.
pushpress.com,PushPress resources,Fitness business software,AI agents article,AI-assisted admin workflows for gyms and trainers,,not started,Pitch newsletter/resource angle.
wodify.com,Wodify blog,Fitness business software,AI readiness checklist,AI operations readiness for boutique fitness,,not started,Pitch resource only.
glofox.com,Glofox blog,Fitness business software,AI agents article,AI workflows for retention and operations,,not started,Pitch article source/resource.
teamup.com,TeamUp fitness business blog,Fitness business software,AI readiness checklist,Checklist for AI-ready scheduling and client data,,not started,Pitch resource mention.
tldr.tech,TLDR AI,AI newsletter,MCP explainer,Vertical MCP example for personal trainer workflows,,not started,Newsletter submission angle.
therundown.ai,The Rundown AI,AI newsletter,MCP explainer,Practical AI agents example in fitness business,,not started,Short pitch with unusual vertical angle.
bensbites.com,Ben's Bites,AI newsletter,MCP explainer,MCP translated for non-technical small businesses,,not started,Good for concise AI resource pitch.
latent.space,Latent Space,AI/dev media,MCP explainer,Vertical MCP use case beyond developer tooling,,not started,Only pitch if there is a stronger technical/demo angle.
futurepedia.io,Futurepedia,AI tools directory,AI readiness checklist,Trainer AI workflow resource,,not started,Directory/resource submission.
theresanaiforthat.com,There's An AI For That,AI tools directory,AI readiness checklist,AI tool/resource for personal trainers,,not started,Directory submission if relevant category exists.
producthunt.com,Product Hunt,Startup community,AI readiness checklist,Resource launch or FitForce launch support,,not started,Best when product/resource launch is coordinated.
indiehackers.com,Indie Hackers,Founder community,MCP explainer,Building vertical AI workflows for trainers,,not started,Community post, not cold link ask.
