domain,publication_or_page,segment,asset_to_pitch,contact_url_or_email,source_url,pitch_angle,status,notes
nasm.org,NASM media and trainer career resources,Certification organization,Client intake form template,nasmmedia@nasm.org,https://www.nasm.org/press-room,Useful onboarding template for certified trainers and business resources,gmail draft created 2026-07-01,Draft ID r-7736263244555354578 from parsa@fitforce.com. Also has earlier AI checklist draft.
acefitness.org,ACE Fitness Certified article submissions,Certification organization,Client intake form template,blogs@acefitness.org,https://www.acefitness.org/about-ace/contact-us/,Resource or guest article angle for onboarding new clients,gmail draft created 2026-07-01,Draft ID r-3682484900655325414 from parsa@fitforce.com. ACE contact page lists blogs@acefitness.org for Certified article submissions.
acefitness.org,ACE Fitness press contact,Certification organization,AI readiness checklist,pressroom@acefitness.org,https://www.acefitness.org/about-ace/contact-us/,Expert quote/source angle for AI and trainer business operations,secondary,Use only for press/source pitch, not template placement.
issaonline.com,ISSA trainer education resources,Certification organization,Client intake form template,support@issaonline.com,https://www.issaonline.com/contact,Practical onboarding form for new trainers and student resources,gmail draft created 2026-07-01,Draft ID r-8175496165035414879 from parsa@fitforce.com. Also has earlier AI checklist draft.
fitnessmentors.com,Fitness Mentors blog,Trainer business educator,Invoice template,eddie@fitnessmentors.com,https://www.fitnessmentors.com/contact/,Useful billing/admin template for trainer business education,gmail draft created 2026-07-01,Draft ID r975953322561125879 from parsa@fitforce.com. Also has earlier AI checklist draft.
theptdc.com,Personal Trainer Development Center,Trainer business educator,Client intake form template,https://www.theptdc.com/about,https://www.theptdc.com/about,Resource suggestion for onboarding and trainer professionalism articles,needs contact route,No public email found previously; use social/contact route.
instituteofpersonaltrainers.com,Institute of Personal Trainers,Trainer business educator,Invoice template,https://www.instituteofpersonaltrainers.com/,https://www.instituteofpersonaltrainers.com/,Resource for trainer business systems and payment admin,needs contact route,Find founder/editor contact before sending.
twobrainbusiness.com,Two-Brain Business,Fitness business educator,AI readiness checklist,sales@twobrainbusiness.com,https://twobrainbusiness.com/contact/,Small fitness business AI operations checklist,secondary,Better if routed to editorial/contact person.
exercise.com,Exercise.com resources,Software/resource blog,Client intake form template,https://www.exercise.com/contact/,https://www.exercise.com/contact/,Resource addition for personal trainer software and onboarding guides,needs contact route,Competitor-adjacent; pitch template resource only.
trainerize.com,Trainerize resources,Software/resource blog,Client intake form template,https://www.trainerize.com/contact/,https://www.trainerize.com/contact/,Onboarding template for trainer client-management content,lower priority,Competitor; pitch only if resource page fit is strong.
teamup.com,TeamUp fitness business resources,Fitness business software,Invoice template,https://goteamup.com/contact/,https://goteamup.com/contact/,Billing/admin resource for trainer and studio operators,needs contact route,Look for editorial route before sending.
gymdesk.com,Gymdesk blog,Fitness business software,AI readiness checklist,https://gymdesk.com/contact/,https://gymdesk.com/contact/,AI-ready client data and scheduling systems for fitness businesses,needs contact route,Good fit for operations content.
